p,rep,level,eig_idx,method,pop_eig,sample_eig
10,1,A,1,MANOVA,1,1.298545138
10,1,A,2,MANOVA,1,1.152320938
10,1,A,3,MANOVA,1,1.063857201
10,1,A,4,MANOVA,1,0.905204194
10,1,A,5,MANOVA,1,0.738582954
10,1,B,1,MANOVA,4,4.581875884
10,1,B,2,MANOVA,4,3.982113164
10,1,B,3,MANOVA,4,3.601024751
10,1,B,4,MANOVA,4,3.107237379
10,1,B,5,MANOVA,4,0.05937127
10,1,E,1,MANOVA,1,1.129173977
10,1,E,2,MANOVA,1,1.097365907
10,1,E,3,MANOVA,1,1.058231966
10,1,E,4,MANOVA,1,1.033409135
10,1,E,5,MANOVA,1,1.010060669
10,1,A,1,REML,1,1.307619129
10,1,A,2,REML,1,1.152015414
10,1,A,3,REML,1,1.093417317
10,1,A,4,REML,1,0.904762394
10,1,A,5,REML,1,0.741071906
10,1,B,1,REML,4,4.285720693
10,1,B,2,REML,4,3.70241085
10,1,B,3,REML,4,3.24676156
10,1,B,4,REML,4,2.918659364
10,1,B,5,REML,4,0.059321559
10,1,E,1,REML,1,1.113672997
10,1,E,2,REML,1,1.076314128
10,1,E,3,REML,1,1.049437019
10,1,E,4,REML,1,1.028000007
10,1,E,5,REML,1,0.999575866
10,2,A,1,MANOVA,1,1.594289047
10,2,A,2,MANOVA,1,1.403284895
10,2,A,3,MANOVA,1,1.11854523
10,2,A,4,MANOVA,1,0.94524016
10,2,A,5,MANOVA,1,0.909348489
10,2,B,1,MANOVA,4,4.5748004
10,2,B,2,MANOVA,4,3.930538784
10,2,B,3,MANOVA,4,3.405669672
10,2,B,4,MANOVA,4,3.004184557
10,2,B,5,MANOVA,4,0.071344986
10,2,E,1,MANOVA,1,1.167338445
10,2,E,2,MANOVA,1,1.114588793
10,2,E,3,MANOVA,1,1.077004582
10,2,E,4,MANOVA,1,1.035352742
10,2,E,5,MANOVA,1,1.021261567
10,2,A,1,REML,1,1.590145208
10,2,A,2,REML,1,1.404965935
10,2,A,3,REML,1,1.126660143
10,2,A,4,REML,1,0.94444201
10,2,A,5,REML,1,0.908959762
10,2,B,1,REML,4,4.210572277
10,2,B,2,REML,4,3.735898898
10,2,B,3,REML,4,3.373926917
10,2,B,4,REML,4,2.892074815
10,2,B,5,REML,4,0.066113575
10,2,E,1,REML,1,1.163972961
10,2,E,2,REML,1,1.109212003
10,2,E,3,REML,1,1.065679275
10,2,E,4,REML,1,1.034541956
10,2,E,5,REML,1,1.016336466
10,3,A,1,MANOVA,1,1.416348214
10,3,A,2,MANOVA,1,1.150207335
10,3,A,3,MANOVA,1,0.857551702
10,3,A,4,MANOVA,1,0.81998313
10,3,A,5,MANOVA,1,0.657662471
10,3,B,1,MANOVA,4,4.971249346
10,3,B,2,MANOVA,4,4.129163188
10,3,B,3,MANOVA,4,3.52763332
10,3,B,4,MANOVA,4,3.215210997
10,3,B,5,MANOVA,4,0.081849736
10,3,E,1,MANOVA,1,1.129067994
10,3,E,2,MANOVA,1,1.095889841
10,3,E,3,MANOVA,1,1.058815724
10,3,E,4,MANOVA,1,1.040963273
10,3,E,5,MANOVA,1,0.994472042
10,3,A,1,REML,1,1.424459757
10,3,A,2,REML,1,1.151022011
10,3,A,3,REML,1,0.849922165
10,3,A,4,REML,1,0.818066698
10,3,A,5,REML,1,0.65585332
10,3,B,1,REML,4,4.547059108
10,3,B,2,REML,4,4.00387335
10,3,B,3,REML,4,3.450824577
10,3,B,4,REML,4,3.17868527
10,3,B,5,REML,4,0.08119278
10,3,E,1,REML,1,1.115936942
10,3,E,2,REML,1,1.091531413
10,3,E,3,REML,1,1.043256912
10,3,E,4,REML,1,1.027872183
10,3,E,5,REML,1,0.992920535
10,4,A,1,MANOVA,1,1.343815048
10,4,A,2,MANOVA,1,1.185483587
10,4,A,3,MANOVA,1,0.976283546
10,4,A,4,MANOVA,1,0.890461925
10,4,A,5,MANOVA,1,0.760725353
10,4,B,1,MANOVA,4,4.644406015
10,4,B,2,MANOVA,4,3.588973834
10,4,B,3,MANOVA,4,3.563513724
10,4,B,4,MANOVA,4,2.911793602
10,4,B,5,MANOVA,4,0.049708063
10,4,E,1,MANOVA,1,1.137756727
10,4,E,2,MANOVA,1,1.126584608
10,4,E,3,MANOVA,1,1.070222526
10,4,E,4,MANOVA,1,1.042139498
10,4,E,5,MANOVA,1,1.01328924
10,4,A,1,REML,1,1.35179499
10,4,A,2,REML,1,1.182061452
10,4,A,3,REML,1,0.985869715
10,4,A,4,REML,1,0.884841475
10,4,A,5,REML,1,0.778619119
10,4,B,1,REML,4,4.08449607
10,4,B,2,REML,4,3.512552701
10,4,B,3,REML,4,3.428638484
10,4,B,4,REML,4,2.89973967
10,4,B,5,REML,4,0.048617728
10,4,E,1,REML,1,1.133473226
10,4,E,2,REML,1,1.102559374
10,4,E,3,REML,1,1.056449843
10,4,E,4,REML,1,1.026839303
10,4,E,5,REML,1,0.988211713
10,5,A,1,MANOVA,1,1.402051898
10,5,A,2,MANOVA,1,1.131417465
10,5,A,3,MANOVA,1,0.943939828
10,5,A,4,MANOVA,1,0.815237649
10,5,A,5,MANOVA,1,0.534555272
10,5,B,1,MANOVA,4,4.699740604
10,5,B,2,MANOVA,4,4.229199506
10,5,B,3,MANOVA,4,3.788992959
10,5,B,4,MANOVA,4,3.04271829
10,5,B,5,MANOVA,4,0.0276831
10,5,E,1,MANOVA,1,1.128554755
10,5,E,2,MANOVA,1,1.087088505
10,5,E,3,MANOVA,1,1.061722868
10,5,E,4,MANOVA,1,1.030648991
10,5,E,5,MANOVA,1,0.999552047
10,5,A,1,REML,1,1.398209828
10,5,A,2,REML,1,1.130414345
10,5,A,3,REML,1,0.933823643
10,5,A,4,REML,1,0.813485093
10,5,A,5,REML,1,0.545771702
10,5,B,1,REML,4,4.16697565
10,5,B,2,REML,4,4.10274655
10,5,B,3,REML,4,3.659028366
10,5,B,4,REML,4,3.037414323
10,5,B,5,REML,4,0.027628947
10,5,E,1,REML,1,1.118426527
10,5,E,2,REML,1,1.068140652
10,5,E,3,REML,1,1.049764211
10,5,E,4,REML,1,1.005193349
10,5,E,5,REML,1,0.989297113
10,6,A,1,MANOVA,1,1.620076123
10,6,A,2,MANOVA,1,1.226061669
10,6,A,3,MANOVA,1,1.101466982
10,6,A,4,MANOVA,1,0.941673024
10,6,A,5,MANOVA,1,0.660293017
10,6,B,1,MANOVA,4,4.876862106
10,6,B,2,MANOVA,4,4.077894102
10,6,B,3,MANOVA,4,3.622150801
10,6,B,4,MANOVA,4,3.041475751
10,6,B,5,MANOVA,4,0.063394813
10,6,E,1,MANOVA,1,1.189065087
10,6,E,2,MANOVA,1,1.076937372
10,6,E,3,MANOVA,1,1.061424136
10,6,E,4,MANOVA,1,1.033333372
10,6,E,5,MANOVA,1,1.012700836
10,6,A,1,REML,1,1.621345708
10,6,A,2,REML,1,1.223787226
10,6,A,3,REML,1,1.10582027
10,6,A,4,REML,1,0.947363626
10,6,A,5,REML,1,0.661183398
10,6,B,1,REML,4,4.358046887
10,6,B,2,REML,4,3.82891388
10,6,B,3,REML,4,3.320037337
10,6,B,4,REML,4,3.031463429
10,6,B,5,REML,4,0.05591141
10,6,E,1,REML,1,1.170465995
10,6,E,2,REML,1,1.071244654
10,6,E,3,REML,1,1.058606174
10,6,E,4,REML,1,1.018206767
10,6,E,5,REML,1,1.005537698
10,7,A,1,MANOVA,1,1.481564678
10,7,A,2,MANOVA,1,1.113760233
10,7,A,3,MANOVA,1,1.022573052
10,7,A,4,MANOVA,1,0.930831194
10,7,A,5,MANOVA,1,0.640474445
10,7,B,1,MANOVA,4,5.281353516
10,7,B,2,MANOVA,4,4.102059809
10,7,B,3,MANOVA,4,3.802921721
10,7,B,4,MANOVA,4,3.141430726
10,7,B,5,MANOVA,4,0.067967078
10,7,E,1,MANOVA,1,1.177036754
10,7,E,2,MANOVA,1,1.161107463
10,7,E,3,MANOVA,1,1.077273163
10,7,E,4,MANOVA,1,1.053232372
10,7,E,5,MANOVA,1,1.037991272
10,7,A,1,REML,1,1.490847939
10,7,A,2,REML,1,1.124138597
10,7,A,3,REML,1,1.017756163
10,7,A,4,REML,1,0.924849462
10,7,A,5,REML,1,0.644482827
10,7,B,1,REML,4,4.815413675
10,7,B,2,REML,4,3.759150484
10,7,B,3,REML,4,3.662964413
10,7,B,4,REML,4,3.135778902
10,7,B,5,REML,4,0.065528463
10,7,E,1,REML,1,1.165230802
10,7,E,2,REML,1,1.143673285
10,7,E,3,REML,1,1.076792091
10,7,E,4,REML,1,1.037758007
10,7,E,5,REML,1,1.025691854
10,8,A,1,MANOVA,1,1.502213424
10,8,A,2,MANOVA,1,1.165912572
10,8,A,3,MANOVA,1,1.061529284
10,8,A,4,MANOVA,1,0.985900683
10,8,A,5,MANOVA,1,0.681013758
10,8,B,1,MANOVA,4,6.201400009
10,8,B,2,MANOVA,4,4.256048079
10,8,B,3,MANOVA,4,3.762097096
10,8,B,4,MANOVA,4,3.266200182
10,8,B,5,MANOVA,4,0.045360856
10,8,E,1,MANOVA,1,1.138062475
10,8,E,2,MANOVA,1,1.132629282
10,8,E,3,MANOVA,1,1.029136764
10,8,E,4,MANOVA,1,1.01646656
10,8,E,5,MANOVA,1,0.983309015
10,8,A,1,REML,1,1.514907493
10,8,A,2,REML,1,1.173470589
10,8,A,3,REML,1,1.072418424
10,8,A,4,REML,1,0.986292391
10,8,A,5,REML,1,0.68735424
10,8,B,1,REML,4,5.574590013
10,8,B,2,REML,4,3.871997809
10,8,B,3,REML,4,3.690769669
10,8,B,4,REML,4,3.167053381
10,8,B,5,REML,4,0.0435493
10,8,E,1,REML,1,1.115932311
10,8,E,2,REML,1,1.110799991
10,8,E,3,REML,1,1.023349627
10,8,E,4,REML,1,1.006954925
10,8,E,5,REML,1,0.976793121
10,9,A,1,MANOVA,1,1.358263741
10,9,A,2,MANOVA,1,1.1313946
10,9,A,3,MANOVA,1,0.933214327
10,9,A,4,MANOVA,1,0.825000868
10,9,A,5,MANOVA,1,0.765322506
10,9,B,1,MANOVA,4,4.895992812
10,9,B,2,MANOVA,4,3.696525077
10,9,B,3,MANOVA,4,3.595243001
10,9,B,4,MANOVA,4,3.226703208
10,9,B,5,MANOVA,4,0.054807517
10,9,E,1,MANOVA,1,1.171186678
10,9,E,2,MANOVA,1,1.077495842
10,9,E,3,MANOVA,1,1.051336216
10,9,E,4,MANOVA,1,1.020727868
10,9,E,5,MANOVA,1,1.012900644
10,9,A,1,REML,1,1.359375203
10,9,A,2,REML,1,1.13748268
10,9,A,3,REML,1,0.927157619
10,9,A,4,REML,1,0.839814013
10,9,A,5,REML,1,0.767636156
10,9,B,1,REML,4,4.476848218
10,9,B,2,REML,4,3.57230164
