q,rep,level,eig_idx,method,pop_eig,sample_eig
10,1,A,1,REML,1,2.719064155573862
10,1,A,2,REML,1,2.181171756409916
10,1,A,3,REML,1,1.7278130792047202
10,1,A,4,REML,1,1.6045926663776013
10,1,A,5,REML,1,0.894546730138567
10,1,B,1,REML,4,5.723440997908989
10,1,B,2,REML,4,4.86853843918253
10,1,B,3,REML,4,4.813629362536722
10,1,B,4,REML,4,4.332811821337662
10,1,B,5,REML,4,4.29606607460843
10,1,E,1,REML,1,1.1348079178759014
10,1,E,2,REML,1,1.123626565517899
10,1,E,3,REML,1,1.0736620738063463
10,1,E,4,REML,1,1.032596798746164
10,1,E,5,REML,1,0.9962911469034388
10,2,A,1,REML,1,2.6051637209739953
10,2,A,2,REML,1,1.7501258793630377
10,2,A,3,REML,1,1.61572726556171
10,2,A,4,REML,1,1.4231780011759574
10,2,A,5,REML,1,1.3339847195665946
10,2,B,1,REML,4,4.868898799430337
10,2,B,2,REML,4,4.694730019819916
10,2,B,3,REML,4,4.381675647602097
10,2,B,4,REML,4,4.326922494883101
10,2,B,5,REML,4,3.885814644080864
10,2,E,1,REML,1,1.146651008105432
10,2,E,2,REML,1,1.0859183547735414
10,2,E,3,REML,1,1.0525861780656527
10,2,E,4,REML,1,1.0101258624087648
10,2,E,5,REML,1,0.9798986525455807
10,3,A,1,REML,1,2.426558818341504
10,3,A,2,REML,1,1.7425665778716564
10,3,A,3,REML,1,1.7010408476933356
10,3,A,4,REML,1,1.281687217451376
10,3,A,5,REML,1,1.0044961171350795
10,3,B,1,REML,4,5.256368916124251
10,3,B,2,REML,4,4.7968929201039465
10,3,B,3,REML,4,4.635545179676516
10,3,B,4,REML,4,4.248563655894221
10,3,B,5,REML,4,4.056638789771692
10,3,E,1,REML,1,1.1492117507543134
10,3,E,2,REML,1,1.107426738878156
10,3,E,3,REML,1,1.07738451836295
10,3,E,4,REML,1,1.0327059131335743
10,3,E,5,REML,1,1.004691711890914
10,4,A,1,REML,1,2.7392271094497724
10,4,A,2,REML,1,2.1421929777677637
10,4,A,3,REML,1,2.024251916206562
10,4,A,4,REML,1,1.3723540696857526
10,4,A,5,REML,1,1.0112799303952131
10,4,B,1,REML,4,5.791694346069554
10,4,B,2,REML,4,4.765912760901404
10,4,B,3,REML,4,4.652835847263956
10,4,B,4,REML,4,4.497571458211601
10,4,B,5,REML,4,4.179693641025738
10,4,E,1,REML,1,1.1218166216994914
10,4,E,2,REML,1,1.1194959300970297
10,4,E,3,REML,1,1.081349257976908
10,4,E,4,REML,1,1.0681040582484034
10,4,E,5,REML,1,1.030775059502917
10,5,A,1,REML,1,2.7843512123715857
10,5,A,2,REML,1,2.086394739030687
10,5,A,3,REML,1,1.538851680316792
10,5,A,4,REML,1,1.3627287987470411
10,5,A,5,REML,1,1.1971272279606622
10,5,B,1,REML,4,5.588825403047859
10,5,B,2,REML,4,5.216153396848549
10,5,B,3,REML,4,4.826928094701574
10,5,B,4,REML,4,4.465684272235856
10,5,B,5,REML,4,4.334054143784297
10,5,E,1,REML,1,1.1239867688392524
10,5,E,2,REML,1,1.1007724984465779
10,5,E,3,REML,1,1.0712786186127101
10,5,E,4,REML,1,1.0393941044575108
10,5,E,5,REML,1,1.023689496446878
10,6,A,1,REML,1,2.6697866882993355
10,6,A,2,REML,1,1.5529865026981595
10,6,A,3,REML,1,1.504627151070916
10,6,A,4,REML,1,1.2909724477063504
10,6,A,5,REML,1,0.7936183889882578
10,6,B,1,REML,4,5.567154839508509
10,6,B,2,REML,4,4.782609548438313
10,6,B,3,REML,4,4.655093925797276
10,6,B,4,REML,4,4.149887419833186
10,6,B,5,REML,4,4.0683988694805855
10,6,E,1,REML,1,1.1050514204385198
10,6,E,2,REML,1,1.0680665183043552
10,6,E,3,REML,1,1.0609460348400626
10,6,E,4,REML,1,1.0148216091972315
10,6,E,5,REML,1,0.9907394377821378
10,7,A,1,REML,1,2.7444410976937283
10,7,A,2,REML,1,1.9488232063500575
10,7,A,3,REML,1,1.7468965900132871
10,7,A,4,REML,1,1.0402361528656505
10,7,A,5,REML,1,0.7458801179836284
10,7,B,1,REML,4,5.066134014962298
10,7,B,2,REML,4,4.863813969379836
10,7,B,3,REML,4,4.646017029167916
10,7,B,4,REML,4,4.389178515616143
10,7,B,5,REML,4,4.2457741900076025
10,7,E,1,REML,1,1.1917042654763839
10,7,E,2,REML,1,1.1514941070968367
10,7,E,3,REML,1,1.1306877604808254
10,7,E,4,REML,1,1.095980621402836
10,7,E,5,REML,1,1.04050429837692
10,8,A,1,REML,1,2.651493260299497
10,8,A,2,REML,1,1.7787451648325863
10,8,A,3,REML,1,1.4846002590588088
10,8,A,4,REML,1,1.2872546609084916
10,8,A,5,REML,1,1.1803331024760433
10,8,B,1,REML,4,5.806019211790895
10,8,B,2,REML,4,5.255094076143601
10,8,B,3,REML,4,4.607627916006796
10,8,B,4,REML,4,4.287222506371296
10,8,B,5,REML,4,4.097373907237107
10,8,E,1,REML,1,1.2110434810337274
10,8,E,2,REML,1,1.1046335075269187
10,8,E,3,REML,1,1.0712675737699817
10,8,E,4,REML,1,1.0559448204795998
10,8,E,5,REML,1,1.0297717118191738
10,9,A,1,REML,1,2.35353388310448
10,9,A,2,REML,1,2.012900093684289
10,9,A,3,REML,1,1.3684705589845787
10,9,A,4,REML,1,1.236321810760673
10,9,A,5,REML,1,1.0303906010345447
10,9,B,1,REML,4,5.457504552353773
10,9,B,2,REML,4,4.740656200565818
10,9,B,3,REML,4,4.608449639180677
10,9,B,4,REML,4,4.432560204326577
10,9,B,5,REML,4,4.155691221984976
10,9,E,1,REML,1,1.1501171182836811
10,9,E,2,REML,1,1.1258077953609626
10,9,E,3,REML,1,1.0774080643854609
10,9,E,4,REML,1,1.048507127920746
10,9,E,5,REML,1,1.0191872998975402
10,10,A,1,REML,1,3.0132553849363664
10,10,A,2,REML,1,2.143625815594199
10,10,A,3,REML,1,1.7446928042200034
10,10,A,4,REML,1,1.4141068415052052
10,10,A,5,REML,1,0.8690978866615755
10,10,B,1,REML,4,5.559058545143206
10,10,B,2,REML,4,5.172259843058035
10,10,B,3,REML,4,4.919729332617734
10,10,B,4,REML,4,4.500022354479187
10,10,B,5,REML,4,3.6561636626507745
10,10,E,1,REML,1,1.113134831819092
10,10,E,2,REML,1,1.0917424728440002
10,10,E,3,REML,1,1.0545589022440505
