component,method,lambda1,lambda2,lambda3,lambda4
Sigma_A,MANOVA,26.242756246850192,24.6150008039297,-0.010870439200921567,-0.134382245085785
Sigma_A,Pseudo REML,26.2436393128665,24.615017103070546,2.842170943040401e-14,-3.552713678800501e-15
Sigma_A,REML-LME,26.25867436321753,24.46175383300069,0.3431030173698062,0.004262162344357279
Sigma_A,Stepwise REML,26.243580943640577,24.614899618966508,4.710047717705091e-14,-7.195979630349475e-15
Sigma_B,MANOVA,9.348274924644334,8.742097860024801,0.01535762540980734,-0.002542778832289372
Sigma_B,Pseudo REML,9.348278447078268,8.742100407247573,0.015359262660004092,5.3290705182007514e-15
Sigma_B,REML-LME,9.176079857464178,8.462085817183544,0.025215078476271913,0.015255042538768748
Sigma_B,Stepwise REML,9.304943715630369,8.654306955443015,0.0077706600813737614,-3.5740246704151466e-9
Sigma_E,MANOVA,1.1024340864848259,1.0045797877302463,0.93089853943614,0.9273180103484039
Sigma_E,Pseudo REML,1.1022031816655948,1.0043209517548606,0.929616096135502,0.9272684189156554
Sigma_E,REML-LME,1.0946219250304463,1.0051815947542149,0.9571100514605105,0.9241915587502185
Sigma_E,Stepwise REML,1.1010952976292943,1.001353276526665,0.9281518217192132,0.9258201366971832
